,country,nCFR,cCFR,total_deaths,cum_known_t,total_cases,nCFR_UQ,nCFR_LQ,cCFR_UQ,cCFR_LQ,underreporting_estimate,lower,upper,quantile25,quantile75
84,Singapore,0.0009363922145675874,0.0019779598756710934,14,7078.0,14951,0.00044612,0.00142667,0.00094289,0.00301303,7.078,12.72689186663666,5.642152655232957,0.001621755803534069,0.002334163947808118
85,Sint_Maarten,0.17333333333333334,0.22807017543859648,13,57.0,75,0.08766433,0.25900234,0.11914361,0.33699674,0.061384615384615385,0.10071879052381287,0.050445591273595575,0.19058486729697438,0.2655554835802186
86,Slovakia,0.014450867052023121,0.019782393669634024,20,1011.0,1384,0.00816354,0.0207382,0.01119872,0.02836607,0.7077,1.0715510046271421,0.5993076157923461,0.0168284619928453,0.02273632534642275
87,Slovenia,0.061079545454545456,0.07107438016528926,86,1210.0,1408,0.04857094,0.07358816,0.05659659,0.08555217,0.1969767441860465,0.21202692568412146,0.19870915038252626,0.06609208239217161,0.07605667793840691
88,Somalia,0.05303030303030303,0.14213197969543148,28,197.0,528,0.03391588,0.07214473,0.09337115,0.19089281,0.09849999999999998,0.12851936037622533,0.08905521231885775,0.12535173138677302,0.15891222800408994
89,South_Africa,0.018614891913530825,0.030774321641297155,93,3022.0,4996,0.014867,0.02236278,0.02461678,0.03693187,0.45492473118279564,0.4874724235825178,0.4603070942008015,0.02865530276974547,0.03289334051284884
90,South_Korea,0.022860328965709508,0.02375663930468373,246,10355.0,10761,0.02003648,0.02568418,0.02082342,0.02668986,0.5893089430894308,0.5762742243036155,0.636946040782028,0.022747219430153162,0.024766059179214296
91,Spain,0.11302206639370317,0.13973650559016412,23822,170478.0,210773,0.11167037,0.11437376,0.13809068,0.14138233,0.10018856519183947,0.08689942190189995,0.12024133069171287,0.13917012042501933,0.1403028907553089
92,Sudan,0.07861635220125786,0.25510204081632654,25,98.0,318,0.04903546,0.10819724,0.16879616,0.34140793,0.05487999999999999,0.07109166654127816,0.04979380588022897,0.22540127310372604,0.28480280852892703
93,Sweden,0.12002446358493452,0.1788426488456865,2355,13168.0,19621,0.11547712,0.12457181,0.17229724,0.18538806,0.07828110403397028,0.06964708285205784,0.09169954103255148,0.17659015203476555,0.18109514565660748
94,Switzerland,0.047256776669750866,0.05492492133667901,1379,25107.0,29181,0.04482223,0.04969132,0.05210674,0.0577431,0.25489340101522845,0.23029649208566724,0.2944074691855274,0.05395509087601802,0.055894751797340006
95,Thailand,0.018379850238257316,0.02125984251968504,54,2540.0,2938,0.01352289,0.02323681,0.01565007,0.02686961,0.6585185185185185,0.7667695481830346,0.6326849999730112,0.01932933178229587,0.02319035325707421
96,Tunisia,0.041025641025641026,0.05181347150259067,40,772.0,975,0.02857542,0.05347586,0.03617812,0.06744882,0.2702,0.3316922031529752,0.2520429414891341,0.046432819061593494,0.057194123943587846
97,Turkey,0.026096133550801114,0.03917358401633978,2992,76378.0,114653,0.02517335,0.02701892,0.0377977,0.04054947,0.3573836898395722,0.31747966814718964,0.41924097085657347,0.03870009453631104,0.03964707349636852
98,Ukraine,0.025398512221041444,0.04489105935386927,239,5324.0,9410,0.02221966,0.02857737,0.039329,0.05045312,0.31186610878661086,0.3051183436979251,0.3369464795249135,0.042976967771974704,0.04680515093576384
99,United_Arab_Emirates,0.007820738137082601,0.014000314613811547,89,6357.0,11380,0.0062023,0.00943918,0.0111121,0.01688853,0.9999775280898876,1.0799037657514907,1.0066004589765927,0.013006382931164937,0.014994246296458156
100,United_Kingdom,0.13452480685097273,0.20294522407481955,21678,106817.0,161145,0.13285883,0.13619078,0.20053331,0.20535714,0.06898413137743334,0.05984043178686674,0.08278261154956855,0.20211520386288628,0.2037752442867528
101,United_States_of_America,0.057629843677012155,0.0852266088704024,58355,684704.0,1012583,0.05717594,0.05808375,0.08456524,0.08588797,0.16426794619141458,0.14190226872317332,0.1979322516208534,0.08499901095093132,0.08545420678987348
102,Uruguay,0.024,0.030612244897959183,15,490.0,625,0.01200118,0.03599882,0.01535956,0.04586493,0.4573333333333333,0.7812725712815006,0.37065354036810105,0.025363279997786724,0.03586120979813164
