,country,nCFR,cCFR,total_deaths,cum_known_t,total_cases,nCFR_UQ,nCFR_LQ,cCFR_UQ,cCFR_LQ,underreporting_estimate,lower,upper,quantile25,quantile75
52,Kazakhstan,0.008161932745674175,0.019394879751745538,25,1289.0,3063,0.0049756,0.01134827,0.01186631,0.02692345,0.72184,1.011266021641709,0.631419923721537,0.016804046158092244,0.02198571334539883
53,Kenya,0.0374331550802139,0.07035175879396985,14,199.0,374,0.01819533,0.05667098,0.03481986,0.10588365,0.19899999999999998,0.3446308619577666,0.16055358446186677,0.05812403495273917,0.08257948263520053
54,Kosovo,0.027848101265822784,0.05789473684210526,22,380.0,790,0.01637451,0.03932169,0.03441325,0.08137622,0.2418181818181818,0.34870287428610625,0.20890623472674774,0.049813965588310076,0.06597550809590044
55,Kuwait,0.006686046511627907,0.01658255227108868,23,1387.0,3440,0.00396274,0.00940935,0.00986201,0.0233031,0.8442608695652174,1.2167908461743957,0.729516754742756,0.014269785888883463,0.018895318653293896
56,Latvia,0.01555023923444976,0.022968197879858657,13,566.0,836,0.00716317,0.02393731,0.01062699,0.03530941,0.6095384615384616,1.129200327248531,0.4814581096599236,0.01872117158983959,0.027215224169877726
57,Lebanon,0.03347280334728033,0.04411764705882353,24,544.0,717,0.02030717,0.04663843,0.02686098,0.06137432,0.3173333333333333,0.4467447585276397,0.276988818360614,0.03817904400222837,0.05005625011541869
58,Liberia,0.11347517730496454,0.2711864406779661,16,59.0,141,0.06112304,0.16582731,0.15774694,0.38462594,0.051625,0.07607120449193369,0.04419878725945525,0.23214808145781443,0.31022479989811774
59,Lithuania,0.03036576949620428,0.045454545454545456,44,968.0,1449,0.0215307,0.03920084,0.03233263,0.05857647,0.30799999999999994,0.3711421437446592,0.29021894591007763,0.04093885002607986,0.04997024088301105
60,Luxembourg,0.023790430366212242,0.03174037089871612,89,2804.0,3741,0.01890698,0.02867388,0.02525162,0.03822912,0.4410786516853933,0.47521700614805046,0.44468718861877593,0.02950737327609708,0.03397336852133516
61,Malaysia,0.017091095539224065,0.02413127413127413,100,4144.0,5851,0.01377005,0.02041214,0.01945905,0.0288035,0.58016,0.6166797709053017,0.5902060040124711,0.02252340274075691,0.025739145521791355
62,Mali,0.05660377358490566,0.15,24,160.0,424,0.03460822,0.07859933,0.09467223,0.20532777,0.09333333333333332,0.12675311881428264,0.08279444970947634,0.13095984605699287,0.16904015394300712
63,Mexico,0.09366045845272206,0.2560378590078329,1569,6128.0,16752,0.08924843,0.09807249,0.24511047,0.26696524,0.05467941363926068,0.0489575160877712,0.06367870130931073,0.25227737724080035,0.2597983407748654
64,Moldova,0.029411764705882353,0.06128293241695303,107,1746.0,3638,0.02392148,0.03490205,0.05003266,0.07253321,0.22844859813084112,0.23984334164849533,0.23437541028703376,0.057411333489029916,0.06515453134487616
65,Morocco,0.038805268109125116,0.0817641228939544,165,2018.0,4252,0.03300026,0.04461027,0.06980922,0.09371903,0.17122424242424245,0.1718970630483213,0.18139326536279812,0.07765003758157384,0.08587820820633497
66,Netherlands,0.118856726364015,0.19049605740748468,4566,23969.0,38416,0.11562059,0.12209287,0.18552469,0.19546742,0.07349233464739377,0.06468141688752968,0.08697101454320383,0.18878524308789763,0.19220687172707174
67,New_Zealand,0.016873889875666074,0.02191464821222607,19,867.0,1126,0.00935089,0.02439689,0.01216937,0.03165992,0.6388421052631579,0.9860821420489859,0.5369564231831576,0.018560969649922328,0.02526832677452981
68,Niger,0.04372355430183357,0.07142857142857142,31,434.0,709,0.02867224,0.05877487,0.04719894,0.09565821,0.196,0.2542430155202856,0.1777160652050886,0.06309033644384476,0.07976680641329809
69,Nigeria,0.028720626631853787,0.08853118712273642,44,497.0,1532,0.02035713,0.03708412,0.06355714,0.11350524,0.15813636363636363,0.1888064853254777,0.14977282711148748,0.07993677430360553,0.0971255999418673
70,North_Macedonia,0.04996481351161154,0.0855421686746988,71,830.0,1421,0.03863682,0.06129281,0.0665147,0.10456964,0.1636619718309859,0.18041124733597622,0.16257109077795898,0.07899417459471107,0.09209016275468652
71,Norway,0.02564102564102564,0.034568338946995215,195,5641.0,7605,0.02208859,0.02919346,0.02980107,0.03933561,0.40499487179487176,0.4026701665978098,0.4321783481934758,0.03292775926392283,0.0362089186300676
